11:22:30.260 -> Flow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:53.404 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:54.416 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:55.413 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:56.424 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:57.452 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:58.439 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:22:59.433 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:00.445 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:01.440 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:02.455 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:03.475 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:04.481 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:05.458 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:06.471 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:07.501 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:08.472 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:09.506 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:10.503 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:11.491 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:12.498 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:13.534 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:14.521 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:15.529 -> 	0LFlow rate: 0L/min	Output Liquid Quantity: 0mL
11:23:16.524 -> 	0LFlow rate: 7L/min	Output Liquid Quantity: 122mL
11:23:17.536 -> 	0LFlow rate: 11L/min	Output Liquid Quantity: 307mL
11:23:18.550 -> 	0LFlow rate: 11L/min	Output Liquid Quantity: 492mL
11:23:19.534 -> 	0LFlow rate: 11L/min	Output Liquid Quantity: 677mL
11:23:20.547 -> 	0LFlow rate: 11L/min	Output Liquid Quantity: 865mL
11:23:21.533 -> 	0LFlow rate: 11L/min	Output Liquid Quantity: 1050mL
11:23:22.547 -> 	1LFlow rate: 10L/min	Output Liquid Quantity: 1231mL
11:23:23.543 -> 	1LFlow rate: 11L/min	Output Liquid Quantity: 1416mL
11:23:24.548 -> 	1LFlow rate: 11L/min	Output Liquid Quantity: 1604mL
11:23:25.576 -> 	1LFlow rate: 11L/min	Output Liquid Quantity: 1789mL
11:23:26.579 -> 	1LFlow rate: 11L/min	Output Liquid Quantity: 1974mL
11:23:27.585 -> 	1LFlow rate: 11L/min	Output Liquid Quantity: 2159mL
11:23:28.589 -> 	2LFlow rate: 11L/min	Output Liquid Quantity: 2347mL
11:23:29.577 -> 	2LFlow rate: 11L/min	Output Liquid Quantity: 2539mL
11:23:30.608 -> 	2LFlow rate: 11L/min	Output Liquid Quantity: 2731mL
11:23:31.612 -> 	2LFlow rate: 11L/min	Output Liquid Quantity: 2919mL
11:23:32.597 -> 	2LFlow rate: 11L/min	Output Liquid Quantity: 3107mL
11:23:33.592 -> 	3LFlow rate: 11L/min	Output Liquid Quantity: 3295mL
11:23:34.614 -> 	3LFlow rate: 11L/min	Output Liquid Quantity: 3483mL
11:23:35.619 -> 	3LFlow rate: 11L/min	Output Liquid Quantity: 3671mL
11:23:36.639 -> 	3LFlow rate: 11L/min	Output Liquid Quantity: 3859mL
11:23:37.632 -> 	3LFlow rate: 11L/min	Output Liquid Quantity: 4047mL
11:23:38.612 -> 	4LFlow rate: 11L/min	Output Liquid Quantity: 4235mL
11:23:39.632 -> 	4LFlow rate: 11L/min	Output Liquid Quantity: 4423mL
11:23:40.634 -> 	4LFlow rate: 11L/min	Output Liquid Quantity: 4608mL
11:23:41.638 -> 	4LFlow rate: 11L/min	Output Liquid Quantity: 4800mL
11:23:42.653 -> 	4LFlow rate: 11L/min	Output Liquid Quantity: 4988mL
11:23:43.647 -> 	4LFlow rate: 11L/min	Output Liquid Quantity: 5176mL
11:23:44.640 -> 	5LFlow rate: 11L/min	Output Liquid Quantity: 5364mL
11:23:45.673 -> 	5LFlow rate: 11L/min	Output Liquid Quantity: 5552mL
11:23:46.666 -> 	5LFlow rate: 11L/min	Output Liquid Quantity: 5740mL
11:23:47.666 -> 	5LFlow rate: 11L/min	Output Liquid Quantity: 5928mL
11:23:48.662 -> 	5LFlow rate: 11L/min	Output Liquid Quantity: 6116mL
11:23:49.687 -> 	6LFlow rate: 11L/min	Output Liquid Quantity: 6304mL
11:23:50.681 -> 	6LFlow rate: 11L/min	Output Liquid Quantity: 6492mL
11:23:51.685 -> 	6LFlow rate: 11L/min	Output Liquid Quantity: 6680mL
11:23:52.708 -> 	6LFlow rate: 11L/min	Output Liquid Quantity: 6865mL
11:23:53.680 -> 	6LFlow rate: 11L/min	Output Liquid Quantity: 7053mL
11:23:54.715 -> 	7LFlow rate: 11L/min	Output Liquid Quantity: 7241mL
11:23:55.722 -> 	7LFlow rate: 11L/min	Output Liquid Quantity: 7429mL
11:23:56.691 -> 	7LFlow rate: 11L/min	Output Liquid Quantity: 7617mL
11:23:57.698 -> 	7LFlow rate: 11L/min	Output Liquid Quantity: 7802mL
11:23:58.716 -> 	7LFlow rate: 11L/min	Output Liquid Quantity: 7990mL
11:23:59.710 -> 	7LFlow rate: 9L/min	Output Liquid Quantity: 8156mL
11:24:00.736 -> 	8LFlow rate: 2L/min	Output Liquid Quantity: 8193mL
11:24:01.715 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:02.743 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:03.745 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:04.752 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:05.757 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:06.761 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:07.776 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:08.771 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:09.774 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:10.782 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:11.768 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:12.783 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:13.785 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:14.802 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:15.785 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:16.806 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:17.830 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:18.818 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:19.805 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:20.808 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:21.808 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:22.832 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:23.854 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:24.824 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:25.849 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:26.875 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:27.869 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:28.862 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:29.872 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:30.875 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:31.860 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:32.875 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:33.878 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:34.905 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:35.877 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:36.879 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:37.899 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:38.897 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:39.911 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:40.900 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:41.937 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:42.924 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:43.951 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:44.951 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:45.940 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:46.931 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:47.965 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:48.951 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:49.978 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:50.948 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:51.966 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:52.980 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:53.988 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:55.004 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:55.983 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:57.003 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:57.975 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:24:59.033 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:00.017 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:01.009 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:02.002 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:03.035 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:04.004 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:05.029 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:06.015 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:07.035 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:08.049 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:09.043 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:10.039 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:11.079 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:12.058 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:13.045 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:14.058 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:15.070 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:16.077 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:17.077 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:18.085 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:19.104 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:20.098 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:21.101 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:22.101 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:23.141 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:24.114 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:25.134 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:26.112 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:27.132 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:28.119 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:29.142 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:30.153 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:31.146 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:32.146 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:33.153 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:34.155 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:35.168 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:36.180 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:37.160 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:38.180 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:39.167 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:40.195 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:41.191 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:42.203 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:43.203 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:44.229 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:45.229 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:46.216 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:47.223 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:48.230 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:49.231 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:50.255 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:51.239 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:52.236 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:53.250 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:54.253 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:55.271 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:56.265 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:57.255 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:58.255 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:25:59.308 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:00.285 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:01.293 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:02.292 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:03.295 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:04.284 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:05.306 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:06.338 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:07.342 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:08.313 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:09.330 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:10.335 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:11.334 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:12.328 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:13.350 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:14.361 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:15.375 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:16.378 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:17.371 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:18.373 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:19.378 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:20.373 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:21.385 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:22.366 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:23.377 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:24.383 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:25.398 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:26.390 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:27.393 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:28.412 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:29.437 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:30.412 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:31.426 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:32.418 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:33.436 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:34.441 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:35.445 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:36.434 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:37.483 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:38.446 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:39.481 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:40.473 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:41.470 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:42.474 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:43.479 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:44.498 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:45.487 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:46.508 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:47.539 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:48.517 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:49.522 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:50.540 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:51.522 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:52.525 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:53.524 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:54.542 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:55.545 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:56.544 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:57.550 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:58.543 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8200mL
11:26:59.543 -> 	8LFlow rate: 0L/min	Output Liquid Quantity: 8207mL
11:27:00.578 -> 	8LFlow rate: 10L/min	Output Liquid Quantity: 8388mL
11:27:01.569 -> 	8LFlow rate: 11L/min	Output Liquid Quantity: 8576mL
11:27:02.581 -> 	8LFlow rate: 11L/min	Output Liquid Quantity: 8761mL
11:27:03.585 -> 	8LFlow rate: 10L/min	Output Liquid Quantity: 8942mL
11:27:04.573 -> 	8LFlow rate: 11L/min	Output Liquid Quantity: 9127mL
11:27:05.578 -> 	9LFlow rate: 10L/min	Output Liquid Quantity: 9308mL
11:27:06.600 -> 	9LFlow rate: 11L/min	Output Liquid Quantity: 9493mL
11:27:07.606 -> 	9LFlow rate: 11L/min	Output Liquid Quantity: 9678mL
11:27:08.607 -> 	9LFlow rate: 11L/min	Output Liquid Quantity: 9866mL
11:27:09.628 -> 	9LFlow rate: 11L/min	Output Liquid Quantity: 10054mL
11:27:10.614 -> 	10LFlow rate: 11L/min	Output Liquid Quantity: 10242mL
11:27:11.645 -> 	10LFlow rate: 11L/min	Output Liquid Quantity: 10430mL
11:27:12.603 -> 	10LFlow rate: 11L/min	Output Liquid Quantity: 10618mL
11:27:13.641 -> 	10LFlow rate: 11L/min	Output Liquid Quantity: 10806mL
11:27:14.613 -> 	10LFlow rate: 11L/min	Output Liquid Quantity: 10994mL
11:27:15.664 -> 	10LFlow rate: 11L/min	Output Liquid Quantity: 11182mL
11:27:16.654 -> 	11LFlow rate: 11L/min	Output Liquid Quantity: 11370mL
11:27:17.646 -> 	11LFlow rate: 10L/min	Output Liquid Quantity: 11551mL
11:27:18.674 -> 	11LFlow rate: 11L/min	Output Liquid Quantity: 11739mL
11:27:19.681 -> 	11LFlow rate: 11L/min	Output Liquid Quantity: 11927mL
11:27:20.660 -> 	11LFlow rate: 11L/min	Output Liquid Quantity: 12115mL
11:27:21.650 -> 	12LFlow rate: 11L/min	Output Liquid Quantity: 12303mL
11:27:22.669 -> 	12LFlow rate: 11L/min	Output Liquid Quantity: 12488mL
11:27:23.683 -> 	12LFlow rate: 11L/min	Output Liquid Quantity: 12673mL
11:27:24.702 -> 	12LFlow rate: 11L/min	Output Liquid Quantity: 12858mL
11:27:25.677 -> 	12LFlow rate: 5L/min	Output Liquid Quantity: 12957mL
11:27:26.696 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:27.705 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:28.684 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:29.715 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:30.719 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:31.720 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:32.725 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:33.731 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:34.735 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:35.739 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:36.746 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:37.724 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:38.731 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:39.756 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:40.744 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:41.764 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:42.760 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:43.751 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:44.771 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:45.757 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:46.767 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:47.771 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:48.774 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:49.794 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:50.786 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:51.824 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:52.810 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:53.817 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:54.807 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
11:27:55.814 -> 	12LFlow rate: 0L/min	Output Liquid Quantity: 12971mL
