11:26:57.577 -> Flow rate: 20.65L/min	Output Liquid Quantity: 344mL
11:29:57.429 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:58.438 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:29:59.473 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:30:00.463 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:30:01.459 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:30:02.487 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:30:03.466 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:30:04.494 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:30:05.505 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:30:06.484 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:30:07.484 -> 	27LFlow rate: 0.00L/min	Output Liquid Quantity: 27895mL
11:30:08.504 -> 	27LFlow rate: 5.99L/min	Output Liquid Quantity: 27994mL
11:30:09.488 -> 	27LFlow rate: 27.97L/min	Output Liquid Quantity: 28460mL
11:30:10.528 -> 	28LFlow rate: 25.09L/min	Output Liquid Quantity: 28878mL
11:30:11.528 -> 	28LFlow rate: 5.55L/min	Output Liquid Quantity: 28970mL
11:30:12.504 -> 	28LFlow rate: 55.72L/min	Output Liquid Quantity: 29898mL
11:30:13.503 -> 	29LFlow rate: 7.77L/min	Output Liquid Quantity: 30027mL
11:30:14.519 -> 	30LFlow rate: 4.66L/min	Output Liquid Quantity: 30104mL
11:30:15.535 -> 	30LFlow rate: 3.55L/min	Output Liquid Quantity: 30163mL
11:30:16.549 -> 	30LFlow rate: 2.00L/min	Output Liquid Quantity: 30196mL
11:30:17.529 -> 	30LFlow rate: 3.55L/min	Output Liquid Quantity: 30255mL
11:30:18.550 -> 	30LFlow rate: 2.89L/min	Output Liquid Quantity: 30303mL
11:30:19.540 -> 	30LFlow rate: 2.44L/min	Output Liquid Quantity: 30343mL
11:30:20.559 -> 	30LFlow rate: 2.66L/min	Output Liquid Quantity: 30387mL
11:30:21.544 -> 	30LFlow rate: 51.95L/min	Output Liquid Quantity: 31252mL
11:30:22.574 -> 	31LFlow rate: 8.66L/min	Output Liquid Quantity: 31396mL
11:30:23.565 -> 	31LFlow rate: 9.99L/min	Output Liquid Quantity: 31562mL
11:30:24.569 -> 	31LFlow rate: 3.77L/min	Output Liquid Quantity: 31624mL
11:30:25.594 -> 	31LFlow rate: 3.55L/min	Output Liquid Quantity: 31683mL
11:30:26.594 -> 	31LFlow rate: 50.17L/min	Output Liquid Quantity: 32519mL
11:30:27.596 -> 	32LFlow rate: 4.66L/min	Output Liquid Quantity: 32596mL
11:30:28.595 -> 	32LFlow rate: 48.40L/min	Output Liquid Quantity: 33402mL
11:30:29.598 -> 	33LFlow rate: 0.67L/min	Output Liquid Quantity: 33413mL
11:30:30.608 -> 	33LFlow rate: 33.08L/min	Output Liquid Quantity: 33964mL
11:30:31.600 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:32.636 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:33.641 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:34.646 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:35.645 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:36.635 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:37.617 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:38.634 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:39.683 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:40.678 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:41.656 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:42.678 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:43.663 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:44.691 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:45.671 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:46.691 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:47.664 -> 	33LFlow rate: 0.00L/min	Output Liquid Quantity: 33964mL
11:30:48.672 -> 	33LFlow rate: 50.84L/min	Output Liquid Quantity: 34811mL
11:30:49.691 -> 	34LFlow rate: 29.75L/min	Output Liquid Quantity: 35306mL
11:30:50.686 -> 	35LFlow rate: 11.99L/min	Output Liquid Quantity: 35505mL
11:30:51.724 -> 	35LFlow rate: 51.06L/min	Output Liquid Quantity: 36356mL
11:30:52.702 -> 	36LFlow rate: 31.75L/min	Output Liquid Quantity: 36885mL
11:30:53.694 -> 	36LFlow rate: 18.20L/min	Output Liquid Quantity: 37188mL
11:30:54.723 -> 	37LFlow rate: 30.86L/min	Output Liquid Quantity: 37702mL
11:30:55.742 -> 	37LFlow rate: 23.75L/min	Output Liquid Quantity: 38097mL
11:30:56.737 -> 	38LFlow rate: 26.64L/min	Output Liquid Quantity: 38541mL
11:30:57.710 -> 	38LFlow rate: 27.31L/min	Output Liquid Quantity: 38996mL
11:30:58.743 -> 	38LFlow rate: 27.08L/min	Output Liquid Quantity: 39447mL
11:30:59.758 -> 	39LFlow rate: 24.86L/min	Output Liquid Quantity: 39861mL
11:31:00.724 -> 	39LFlow rate: 18.20L/min	Output Liquid Quantity: 40164mL
11:31:01.759 -> 	40LFlow rate: 17.98L/min	Output Liquid Quantity: 40463mL
11:31:02.748 -> 	40LFlow rate: 23.98L/min	Output Liquid Quantity: 40862mL
11:31:03.759 -> 	40LFlow rate: 23.29L/min	Output Liquid Quantity: 41250mL
11:31:04.775 -> 	41LFlow rate: 20.42L/min	Output Liquid Quantity: 41590mL
11:31:05.763 -> 	41LFlow rate: 12.43L/min	Output Liquid Quantity: 41797mL
11:31:06.764 -> 	41LFlow rate: 10.43L/min	Output Liquid Quantity: 41970mL
11:31:07.762 -> 	41LFlow rate: 11.54L/min	Output Liquid Quantity: 42162mL
11:31:08.795 -> 	42LFlow rate: 12.43L/min	Output Liquid Quantity: 42369mL
11:31:09.779 -> 	42LFlow rate: 11.54L/min	Output Liquid Quantity: 42561mL
11:31:10.808 -> 	42LFlow rate: 4.22L/min	Output Liquid Quantity: 42631mL
11:31:11.811 -> 	42LFlow rate: 10.21L/min	Output Liquid Quantity: 42801mL
11:31:12.816 -> 	42LFlow rate: 2.00L/min	Output Liquid Quantity: 42834mL
11:31:13.828 -> 	42LFlow rate: 5.33L/min	Output Liquid Quantity: 42922mL
11:31:14.810 -> 	42LFlow rate: 9.55L/min	Output Liquid Quantity: 43081mL
11:31:15.815 -> 	43LFlow rate: 11.99L/min	Output Liquid Quantity: 43280mL
11:31:16.819 -> 	43LFlow rate: 9.99L/min	Output Liquid Quantity: 43446mL
11:31:17.815 -> 	43LFlow rate: 1.55L/min	Output Liquid Quantity: 43471mL
11:31:18.834 -> 	43LFlow rate: 2.22L/min	Output Liquid Quantity: 43508mL
11:31:19.832 -> 	43LFlow rate: 26.86L/min	Output Liquid Quantity: 43955mL
11:31:20.835 -> 	43LFlow rate: 23.31L/min	Output Liquid Quantity: 44343mL
11:31:21.834 -> 	44LFlow rate: 27.97L/min	Output Liquid Quantity: 44809mL
11:31:22.872 -> 	44LFlow rate: 22.64L/min	Output Liquid Quantity: 45186mL
11:31:23.867 -> 	45LFlow rate: 25.97L/min	Output Liquid Quantity: 45618mL
11:31:24.841 -> 	45LFlow rate: 25.31L/min	Output Liquid Quantity: 46039mL
11:31:25.872 -> 	46LFlow rate: 20.20L/min	Output Liquid Quantity: 46375mL
11:31:26.876 -> 	46LFlow rate: 42.18L/min	Output Liquid Quantity: 47078mL
11:31:27.880 -> 	47LFlow rate: 49.06L/min	Output Liquid Quantity: 47895mL
11:31:28.864 -> 	47LFlow rate: 19.09L/min	Output Liquid Quantity: 48213mL
11:31:29.868 -> 	48LFlow rate: 47.29L/min	Output Liquid Quantity: 49001mL
11:31:30.876 -> 	49LFlow rate: 47.73L/min	Output Liquid Quantity: 49796mL
11:31:31.880 -> 	49LFlow rate: 56.39L/min	Output Liquid Quantity: 50735mL
11:31:32.921 -> 	50LFlow rate: 46.84L/min	Output Liquid Quantity: 51515mL
11:31:33.881 -> 	51LFlow rate: 51.06L/min	Output Liquid Quantity: 52366mL
11:31:34.917 -> 	52LFlow rate: 49.95L/min	Output Liquid Quantity: 53198mL
11:31:35.906 -> 	53LFlow rate: 45.29L/min	Output Liquid Quantity: 53952mL
11:31:36.896 -> 	53LFlow rate: 44.18L/min	Output Liquid Quantity: 54688mL
11:31:37.935 -> 	54LFlow rate: 52.39L/min	Output Liquid Quantity: 55561mL
11:31:38.929 -> 	55LFlow rate: 49.28L/min	Output Liquid Quantity: 56382mL
11:31:39.936 -> 	56LFlow rate: 47.73L/min	Output Liquid Quantity: 57177mL
11:31:40.915 -> 	57LFlow rate: 52.17L/min	Output Liquid Quantity: 58046mL
11:31:41.938 -> 	58LFlow rate: 50.39L/min	Output Liquid Quantity: 58885mL
11:31:42.961 -> 	58LFlow rate: 49.01L/min	Output Liquid Quantity: 59701mL
11:31:43.939 -> 	59LFlow rate: 45.73L/min	Output Liquid Quantity: 60463mL
11:31:44.972 -> 	60LFlow rate: 45.73L/min	Output Liquid Quantity: 61225mL
11:31:45.943 -> 	61LFlow rate: 52.84L/min	Output Liquid Quantity: 62105mL
11:31:46.969 -> 	62LFlow rate: 49.51L/min	Output Liquid Quantity: 62930mL
11:31:47.958 -> 	62LFlow rate: 52.17L/min	Output Liquid Quantity: 63799mL
11:31:48.984 -> 	63LFlow rate: 54.39L/min	Output Liquid Quantity: 64705mL
11:31:50.017 -> 	64LFlow rate: 54.83L/min	Output Liquid Quantity: 65618mL
11:31:51.005 -> 	65LFlow rate: 52.39L/min	Output Liquid Quantity: 66491mL
11:31:51.973 -> 	66LFlow rate: 51.50L/min	Output Liquid Quantity: 67349mL
11:31:52.973 -> 	67LFlow rate: 46.84L/min	Output Liquid Quantity: 68129mL
11:31:54.006 -> 	68LFlow rate: 48.40L/min	Output Liquid Quantity: 68935mL
11:31:54.986 -> 	68LFlow rate: 46.62L/min	Output Liquid Quantity: 69712mL
11:31:55.993 -> 	69LFlow rate: 45.73L/min	Output Liquid Quantity: 70474mL
11:31:56.993 -> 	70LFlow rate: 35.30L/min	Output Liquid Quantity: 71062mL
11:31:58.014 -> 	71LFlow rate: 27.08L/min	Output Liquid Quantity: 71513mL
11:31:59.029 -> 	71LFlow rate: 47.51L/min	Output Liquid Quantity: 72304mL
11:32:00.032 -> 	72LFlow rate: 25.75L/min	Output Liquid Quantity: 72733mL
11:32:01.025 -> 	72LFlow rate: 23.53L/min	Output Liquid Quantity: 73125mL
11:32:02.019 -> 	73LFlow rate: 22.42L/min	Output Liquid Quantity: 73498mL
11:32:03.050 -> 	73LFlow rate: 24.64L/min	Output Liquid Quantity: 73908mL
11:32:04.034 -> 	73LFlow rate: 24.42L/min	Output Liquid Quantity: 74315mL
11:32:05.046 -> 	74LFlow rate: 41.74L/min	Output Liquid Quantity: 75010mL
11:32:06.053 -> 	75LFlow rate: 39.29L/min	Output Liquid Quantity: 75664mL
11:32:07.041 -> 	75LFlow rate: 16.65L/min	Output Liquid Quantity: 75941mL
