Flow rate: 11.10L/min	Output Liquid Quantity: 185mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.00L/min	Output Liquid Quantity: 8431mL
	8LFlow rate: 0.67L/min	Output Liquid Quantity: 8442mL
	8LFlow rate: 10.66L/min	Output Liquid Quantity: 8619mL
	8LFlow rate: 10.66L/min	Output Liquid Quantity: 8796mL
	8LFlow rate: 10.88L/min	Output Liquid Quantity: 8977mL
	8LFlow rate: 10.66L/min	Output Liquid Quantity: 9154mL
	9LFlow rate: 10.66L/min	Output Liquid Quantity: 9331mL
	9LFlow rate: 10.66L/min	Output Liquid Quantity: 9508mL
	9LFlow rate: 10.88L/min	Output Liquid Quantity: 9689mL
	9LFlow rate: 10.66L/min	Output Liquid Quantity: 9866mL
	9LFlow rate: 10.66L/min	Output Liquid Quantity: 10043mL
	10LFlow rate: 10.66L/min	Output Liquid Quantity: 10220mL
	10LFlow rate: 10.66L/min	Output Liquid Quantity: 10397mL
	10LFlow rate: 10.88L/min	Output Liquid Quantity: 10578mL
	10LFlow rate: 10.66L/min	Output Liquid Quantity: 10755mL
	10LFlow rate: 10.88L/min	Output Liquid Quantity: 10936mL
	10LFlow rate: 10.66L/min	Output Liquid Quantity: 11113mL
	11LFlow rate: 10.66L/min	Output Liquid Quantity: 11290mL
	11LFlow rate: 10.66L/min	Output Liquid Quantity: 11467mL
	11LFlow rate: 10.88L/min	Output Liquid Quantity: 11648mL
	11LFlow rate: 10.66L/min	Output Liquid Quantity: 11825mL
	11LFlow rate: 10.88L/min	Output Liquid Quantity: 12006mL
	12LFlow rate: 10.43L/min	Output Liquid Quantity: 12179mL
	12LFlow rate: 10.66L/min	Output Liquid Quantity: 12356mL
	12LFlow rate: 10.88L/min	Output Liquid Quantity: 12537mL
	12LFlow rate: 10.66L/min	Output Liquid Quantity: 12714mL
	12LFlow rate: 10.88L/min	Output Liquid Quantity: 12895mL
	12LFlow rate: 10.66L/min	Output Liquid Quantity: 13072mL
	13LFlow rate: 10.88L/min	Output Liquid Quantity: 13253mL
	13LFlow rate: 10.66L/min	Output Liquid Quantity: 13430mL
	13LFlow rate: 5.77L/min	Output Liquid Quantity: 13526mL
	13LFlow rate: 0.89L/min	Output Liquid Quantity: 13540mL
	13LFlow rate: 0.22L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 0.00L/min	Output Liquid Quantity: 13543mL
	13LFlow rate: 1.55L/min	Output Liquid Quantity: 13568mL
	13LFlow rate: 10.66L/min	Output Liquid Quantity: 13745mL
	13LFlow rate: 10.88L/min	Output Liquid Quantity: 13926mL
	13LFlow rate: 10.66L/min	Output Liquid Quantity: 14103mL
	14LFlow rate: 10.66L/min	Output Liquid Quantity: 14280mL
	14LFlow rate: 10.88L/min	Output Liquid Quantity: 14461mL
	14LFlow rate: 10.66L/min	Output Liquid Quantity: 14638mL
	14LFlow rate: 10.88L/min	Output Liquid Quantity: 14819mL
	14LFlow rate: 10.66L/min	Output Liquid Quantity: 14996mL
	14LFlow rate: 10.66L/min	Output Liquid Quantity: 15173mL
	15LFlow rate: 10.66L/min	Output Liquid Quantity: 15350mL
	15LFlow rate: 10.87L/min	Output Liquid Quantity: 15531mL
	15LFlow rate: 10.66L/min	Output Liquid Quantity: 15708mL
	15LFlow rate: 10.88L/min	Output Liquid Quantity: 15889mL
	15LFlow rate: 10.66L/min	Output Liquid Quantity: 16066mL
	16LFlow rate: 10.66L/min	Output Liquid Quantity: 16243mL
	16LFlow rate: 10.66L/min	Output Liquid Quantity: 16420mL
	16LFlow rate: 10.88L/min	Output Liquid Quantity: 16601mL
	16LFlow rate: 10.66L/min	Output Liquid Quantity: 16778mL
	16LFlow rate: 10.88L/min	Output Liquid Quantity: 16959mL
	16LFlow rate: 10.66L/min	Output Liquid Quantity: 17136mL
	17LFlow rate: 10.66L/min	Output Liquid Quantity: 17313mL
	17LFlow rate: 10.88L/min	Output Liquid Quantity: 17494mL
	17LFlow rate: 10.66L/min	Output Liquid Quantity: 17671mL
	17LFlow rate: 10.66L/min	Output Liquid Quantity: 17848mL
	17LFlow rate: 10.66L/min	Output Liquid Quantity: 18025mL
	18LFlow rate: 10.88L/min	Output Liquid Quantity: 18206mL
	18LFlow rate: 10.66L/min	Output Liquid Quantity: 18383mL
	18LFlow rate: 10.66L/min	Output Liquid Quantity: 18560mL
	18LFlow rate: 10.66L/min	Output Liquid Quantity: 18737mL
	18LFlow rate: 10.66L/min	Output Liquid Quantity: 18914mL
	18LFlow rate: 10.88L/min	Output Liquid Quantity: 19095mL
	19LFlow rate: 10.43L/min	Output Liquid Quantity: 19268mL
	19LFlow rate: 9.55L/min	Output Liquid Quantity: 19427mL
	19LFlow rate: 2.22L/min	Output Liquid Quantity: 19464mL
	19LFlow rate: 0.22L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19467mL
	19LFlow rate: 0.44L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
	19LFlow rate: 0.00L/min	Output Liquid Quantity: 19474mL
